TABLE_NAME                     COUNT(COLUMN_NAME)                               
EVAL_PRECEDENCE_PROPERTIES                      4                               
EVENT_ROLE_MAPPING                              2                               
EVENT_STATE                                    11                               
EXTENDED_WARRANTY_NOTIFICATION                 18                               
FAILED_RULE                                     5                               
FAILURE_CAUSE                                  11                               
FAILURE_CAUSE_DEFINITION                       12                               
FAILURE_ROOT_CAUSE                             11                               
FAILURE_ROOT_CAUSE_DEFINITION                  12                               
FAILURE_STRUCTURE                              11                               
FAILURE_STRUCTURE_ASSEMBLIES                    2                               
FAILURE_TYPE                                   11                               
FAILURE_TYPE_DEFINITION                        12                               
FAULT_CODE                                     12                               
FAULT_CODE_DEFINITION                          11                               
FAULT_CODE_DEFINITION_LABELS                    2                               
FAULT_CODE_DEF_COMPS                            3                               
FAULT_CODE_PART_CLASS_ASSOC                     5                               
FILE_UPLOAD_MGT                                14                               
FOC_ORDER_DETAILS                              13                               
FORM_ANSWER_OPTIONS                             2                               
FULL_CHARGE_BATTERY_TEST                       14                               
HUSS_PARTS_REPLACED_INSTALLED                   4                               
HUSS_PARTS_TO_REPLACE                           2                               
HYDROMETER_TEST                                21                               
I18NACTION_DEFINITION                           4                               
I18NADDITIONAL_ATTRIBUTE_NAME                   4                               
I18NASSEMBLY_DEFINITION                         4                               
I18NCAMPAIGN_TEXT                               4                               
I18NCOMPETITION_TYPE_TEXT                       4                               
I18NCOMPETITOR_MAKE_TEXT                        4                               
I18NCOMPETITOR_MODEL_TEXT                       4                               
I18NDOMAIN_RULE_TEXT                            4                               
I18NFAILURE_CAUSE_DEFINITION                    4                               
I18NFAILURE_TYPE_DEFINITION                     4                               
I18NFLR_ROOT_CAUSE_DEFINITION                   4                               
I18NITEM_GROUP_TEXT                             4                               
I18NITEM_TEXT                                   4                               
I18NLOV_TEXT                                    4                               
I18NMARKET_TYPE_TEXT                            4                               
I18NMODIFIER_NAME                               4                               
I18NNON_OEM_PARTS_DESCRIPTION                   4                               
I18NPOLICY_TERMS_CONDITIONS                     4                               
I18NSECTION_TEXT                                4                               
I18NTRANSACTION_TYPE_TEXT                       4                               
I18NUPLOAD_ERROR_TEXT                           4                               
I18N_TEXT                                      13                               
I18N_UOM_MAPPING_VALUES                         4                               
INBOX_VIEW                                      9                               
INCLUSIVE_JOB_CODES                             2                               
INSPECTION_RESULT                              13                               
INSTALLED_PARTS                                31                               
INTER_COMPANY                                   2                               
INVALID_RULE_FAILURES                           6                               
INVENTORY_DCAP_DETAIL                          15                               
INVENTORY_ITEM                                 37                               
INVENTORY_ITEM_COMPOSITION                     12                               
INVENTORY_ITEM_CONDITION                        9                               
INVENTORY_ITEM_LABELS                           2                               
INVENTORY_TRANSACTION                          22                               
INVENTORY_TRANSACTION_TYPE                     11                               
INVENTORY_TYPE                                  9                               
INVENTORY_TYPES_IN_REPORTS                      2                               
INV_ITEM_ATTR_VALS                              2                               
INV_ITEM_ATTR_VALUE                             1                               
ITEM                                           54                               
ITEMS_IN_GROUP                                  2                               
ITEM_BASE_PRICE                                 4                               
ITEM_COMPOSITION                               12                               
ITEM_GROUP                                     21                               
ITEM_GROUPS_ALARM_CODE                          2                               
ITEM_GROUPS_IN_REPORTS                          2                               
ITEM_GROUP_DELETED_RECS                         3                               
ITEM_GROUP_LABELS                               2                               
ITEM_MAPPING                                   14                               
ITEM_PRICE_CRITERIA                            15                               
ITEM_PRICE_MODIFIER                            14                               
ITEM_SCHEME                                    11                               
ITEM_SCHEME_PURPOSES                            2                               
ITEM_STACK                                      5                               
ITEM_STAGING                                   23                               
ITEM_TYPE_MAPPING                               3                               
JOB                                            10                               
JOB_DEFINITION                                 14                               
LABEL                                          11                               
LABOR_DETAIL                                   18                               
LABOR_DETAIL_CLM_ATTR                           2                               
LABOR_RATE                                     14                               
LABOR_RATES                                    22                               
LABOR_RATE_VALUES                               4                               
LABOR_SPLIT                                    14                               
LABOR_SPLIT_DETAILS                             4                               
LABOR_SPLIT_DETAILS_STAGE                       2                               
LABOR_SPLIT_DETAILS_STAGE_TEST                  2                               
LABOR_SPLIT_DETAILS_TEST                        4                               
LABOR_SPLIT_DETAIL_AUDIT                       17                               
LABOR_SPLIT_DETAIL_AUDIT_TEST                  16                               
LABOR_SPLIT_TYPE                               12                               
LIMIT_OF_AUTHORITY_LEVEL                       13                               
LIMIT_OF_AUTHORITY_SCHEME                      13                               
LINE_ITEM                                      26                               
LINE_ITEM_GROUP                                25                               
LINE_ITEM_GROUPS                                2                               
